,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
94,Svømmehall,36776,38,83521445.61,786115.31,17908.0,15,Møre og Romsdal
95,Sykehjem,209021,251,571605700.29,7135215.34,26112.0,94,Møre og Romsdal
96,Sykehus,225954,166,355091425.2,3504093.65,21914.0,53,Møre og Romsdal
97,Terrassehus,109859,613,1748618921.42,26731737.66,14762.5,250,Møre og Romsdal
98,"Tomannsbolig, horisontaldelt",572786,7120,16193336619.13,212013510.42,53634.4,2335,Møre og Romsdal
99,"Tomannsbolig, vertikaldelt",1075928,15840,50920480078.87,575808023.36,405271.95,7323,Møre og Romsdal
100,Trafikktilsynsbygning,8766,20,69724677.18,1018403.48,4054.4,11,Møre og Romsdal
101,Tribune og idrettsgarderobe,16241,79,362552718.28,4921581.73,4501.0,52,Møre og Romsdal
102,Ungdomsskole,139815,150,403905450.49,4654498.22,31364.4,68,Møre og Romsdal
103,Univ./høgskole m/auditor.leses,59332,55,111487308.7,1263169.77,3264.5,16,Møre og Romsdal
104,Vandre-/feriehjem,23467,180,619887285.32,10020674.62,3714.1,92,Møre og Romsdal
105,Veksthus,26068,72,467348691.78000003,6519349.06,5976.6,68,Møre og Romsdal
106,Verkstedbygning,568363,1274,5194320755.18,68440677.5,175572.5,817,Møre og Romsdal
107,Videregående skole,168156,210,543849839.76,6554809.47,25225.0,90,Møre og Romsdal
108,Våningh. benyttes som fritidsb,113025,1706,4895455669.07,83416232.75,9660.2,704,Møre og Romsdal
109,Våningshus,1535356,18139,49186083034.86,726282052.33,155143.05,7128,Møre og Romsdal
110,"Våningshus, tomannsb./horisont.",98460,1009,2379724241.44,28696824.84,6691.1,350,Møre og Romsdal
111,"Våningshus, tomannsb./vertikal.",144341,1339,3462371580.81,63549072.99,19616.7,504,Møre og Romsdal
112,Zoologisk/botanisk hage (byg.),5746,5,20873089.44,125454.28,68.1,3,Møre og Romsdal
