,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,762979,6347,14594145797.91,219820032.77,165138.4,2285,Agder
1,Annen boligbyg.(sek. reindrift,64641,437,973320275.3100001,10083062.93,5194.6,158,Agder
2,Annen bygn. for religiøs akt.,42164,115,298239592.12,3744863.2,1414.4,49,Agder
3,Annen bygning for bofellesskap,51724,182,473367533.33,7152190.48,9405.5,75,Agder
4,Annen bygning for overnatting,64357,305,889004686.51,12498410.94,18178.0,149,Agder
5,Annen eksp. og terminalbygning,36341,71,278417843.62,3592072.13,1082.0,45,Agder
6,Annen fiskeri- og fangstbygn.,6754,24,84247948.5,1149115.58,3020.2,13,Agder
7,Annen forretningsbygning,710579,1372,3464130691.59,53225659.19,137623.8,590,Agder
8,Annen garasje-/hangarbygning,65250,146,773216766.22,9136764.09,27514.3,123,Agder
9,Annen hotellbygning,13983,54,144089832.35,2034488.34,2950.7,24,Agder
10,Annen idrettsbygning,108361,330,1271887544.39,16581135.94,44222.5,204,Agder
11,Annen industribygning,1347294,1702,6460996765.93,89615444.37,369031.5,1153,Agder
12,Annen kontorbygning,396367,987,2502040510.8,35303425.51,66719.9,404,Agder
13,Annen lagerbygning,510888,1426,6640210263.57,93432409.62,186212.1,1056,Agder
14,Annen landbruksbygning,426157,2782,12447403377.35,153758069.73,165857.0,1972,Agder
15,Annen museum/biblioteksbygning,13241,70,239682013.77,3005653.16,2981.6,37,Agder
16,Annen primærhelsebygning,20418,82,246185012.21,3572488.85,3447.0,39,Agder
17,Annen restaurantbygning,23163,117,298589438.98,4046304.24,4116.0,47,Agder
18,Annen skolebygning,140768,408,1283188499.73,16273381.18,38171.1,209,Agder
19,Annen universitet/høgskolebygn,19236,51,129478097.82,1975835.27,4566.0,21,Agder
20,Annen veg-og trafikktilsynsbygning,5488,24,116872829.28,1625224.71,551.0,20,Agder
21,Annet kulturhus,80791,267,726171010.67,9545539.76,7283.0,120,Agder
22,Annet sykehjem,19510,46,110156016.62,1333762.34,180.4,18,Agder
23,Appartement,52254,335,865070215.0600001,7504753.7,4860.0,135,Agder
24,Bankbygning posthus,41746,160,298876296.46,4413580.09,1990.0,53,Agder
25,Barnehage,193801,757,2425109101.78,34503210.79,66496.2,409,Agder
26,Barneskole,322856,601,1491573575.85,21945332.64,47668.1,307,Agder
27,Bedehus menighetshus,123982,533,1550439475.01,19988526.23,14052.9,258,Agder
28,Bensinstasjon,28024,130,570986211.64,7898303.46,6419.9,98,Agder
29,Bibliotek mediatek,20060,37,84604737.59,1426252.03,2855.0,13,Agder
30,Bo- og behandlingssenter,133430,262,888838494.65,12356546.45,16587.1,146,Agder
31,Bo- og servicesenter,130848,331,1070416478.49,16127015.4,23144.0,166,Agder
32,Boligbrakker,24012,77,305305968.27,3418406.57,12796.0,47,Agder
33,Brannstasjon ambulansestasjon,24207,62,227485845.36,2539709.45,7946.0,41,Agder
34,Butikk/forretningsbygning,1257779,2557,6570037997.1,94842730.47,250716.7,1135,Agder
35,Bygn.for vannfors.bla. pumpest,28611,93,461003415.54,5953407.2,8363.7,73,Agder
36,Bygning for renseanlegg,39902,119,468230904.4,6170512.8100000005,8922.9,75,Agder
37,Camping/utleiehytte,29290,328,1162227314.72,12813836.4,9965.4,180,Agder
38,Diskotek ungdomsklubb,2048,5,19449438.58,176864.07,0.0,3,Agder
39,Driftsb. fiske/fangst/oppdr,63142,181,752061953.63,8866377.32,41124.8,121,Agder
40,Eksp.bygn. flyterm. kontr.tårn,16652,16,32376136.0,384630.94,91.0,10,Agder
41,Enebolig,11419001,136958,385936800747.06,5695376845.74,302333098.34999996,60177,Agder
42,Enebolig m/hybel/sokkelleil.,1500176,16018,40689435745.72,608691110.18,207466.9,6403,Agder
43,Fabrikkbygning,684022,722,2334980139.03,32494939.16,133887.6,435,Agder
44,Fritidsbygg(hyttersommerh. ol,1901797,25388,103765790068.36,1166771324.44,964547.4,15978,Agder
45,Fyrstasjon losstasjon,1441,18,51674801.08,632708.22,0.0,8,Agder
46,Garasjeuth.anneks til fritidb,24051,336,1240104647.46,16323364.26,7228.1,192,Agder
47,Garasjeuthus anneks til bolig,956695,9755,38262105509.71,563513855.38,294995.9,5951,Agder
48,Gatekjøkken kioskbygning,8089,52,201256766.57,2271906.93,1867.7,35,Agder
49,Godsterminal,14092,16,38936886.870000005,455660.14999999997,1.0,8,Agder
50,Helse-/sosialsent. helsestasj.,6397,23,77952871.82000001,1059959.69,668.0,12,Agder
51,Helsestudio,15319,41,148911253.96,1315467.24,3447.8,24,Agder
52,Helårsb.benyttes som fritidsb.,103663,1746,4754446912.22,39947243.38,6049.0,737,Agder
53,Hospits pensjonat,1636,9,26038773.0,601471.0700000001,300.0,4,Agder
54,Hotellbygning,162228,295,428486014.36,6066927.7,7569.0,75,Agder
55,Hus for dyr/landbr.lager/silo,1032301,5500,21871898434.72,266224096.34,314063.1,3572,Agder
56,Idrettshall,247288,192,654814419.76,8957427.42,81219.4,111,Agder
57,Jernbane- og T-banestasjon,7065,23,64826035.230000004,867877.33,878.0,11,Agder
58,Kino/teater/opera/konsertbygn,56133,79,123053928.87,1559591.25,6256.0,22,Agder
59,Kirke kapell,56269,182,505527302.63,7297219.1,8300.4,82,Agder
60,Kjede/atriumhus,249616,3400,10521557732.63,163465933.27,70906.3,1630,Agder
61,Kjøle- og fryselager,6665,23,77872689.34,1115371.54,2838.0,14,Agder
62,Kjøpesenter varehus,820804,383,868668546.25,12456241.92,109136.0,164,Agder
63,"Klinikk, legekontor/-senter/-vakt/dyresykehus",42099,77,201360257.74,2936234.68,11177.0,33,Agder
