,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
64,Komb. barne- og ungdomsskole,107924,149,421608449.33,6003769.42,34203.0,78,Agder
65,Kontor- og adm.bygning rådhus,919262,1889,3850042722.11,55528341.99,63724.8,651,Agder
66,Kremat. gravkapell bårehus,2152,18,64919436.26,976665.98,0.0,11,Agder
67,Laboratoriebygning,267,1,6468094.5,88614.02,288.0,1,Agder
68,Lagerhall,1037264,1733,8734809042.21,113735973.67,611051.6,1403,Agder
69,Lekepark,10921,64,175118022.14000002,2518256.82,2265.1,28,Agder
70,Mediabygning,15808,26,45389544.339999996,622143.11,1620.0,12,Agder
71,Messe- og kongressbygning,4315,8,19526404.32,293626.82,1653.0,3,Agder
72,Monument,212,3,6465893.63,88100.31,0.0,1,Agder
73,Motellbygning,6026,29,104315079.75,1113120.66,2286.4,17,Agder
74,Museum kunstgalleri,46866,127,369868945.91,5134384.91,5693.0,59,Agder
75,Naust båthus sjøbu,97159,923,3639135876.18,28040957.73,15752.6,567,Agder
76,Naust/redskapshus for fiske,2988,30,110019776.84,1084682.79,74.0,17,Agder
77,Offentlig toalett,1234,12,64819955.730000004,872076.29,321.0,10,Agder
78,Parkeringshus,349643,191,531361694.09,7654218.46,79440.0,82,Agder
79,Politistasjon,51647,37,58485152.61,873228.72,6479.0,10,Agder
80,Postterminal,12766,10,38902030.11,454990.99,9686.5,7,Agder
81,Rehabiliter.institusjon.kurbad,27453,78,194595208.63,2479986.62,8633.8,33,Agder
82,Rekkehus,765971,12386,35054050453.95,498449634.25,116164.8,5421,Agder
83,Restaurantbygning kafebygning,95696,430,1077467753.29,15178573.75,7746.0,178,Agder
84,Samfunnshus grendehus,53754,287,942061884.09,12631560.01,6699.599999999999,154,Agder
85,Sentralkjøkken kantinebygning,3717,7,45385021.65,595388.73,3138.0,7,Agder
86,Seterhus sel rorbu o.l.,1665,17,78019009.17,565020.63,731.0,13,Agder
87,Skogs- og utmarkskoie gamme,2251,22,117383913.77,1249535.01,1382.8,18,Agder
88,Store sammenb. boligbygg på 3 og 4 etg.,188321,654,1114116747.3799999,15943785.87,31719.4,179,Agder
89,Store sammenb. boligbygg på 5 etg. el. mer,317138,885,944594443.4,13497960.87,19089.0,150,Agder
90,Store sammenbygde boligbygg på 2 etg.,34382,123,324171834.71,4192002.43,5845.8,50,Agder
91,Stort frittliggende boligbygg på 2 etg.,210957,1035,2990487694.71,48558048.24,69376.3,467,Agder
92,Stort frittliggende boligbygg på 3 og 4 etg.,955881,2617,4546954062.01,65548018.29,159037.3,714,Agder
93,Stort frittliggende boligbygg på 5 etg. el. mer,1076078,2428,2576173992.77,37367366.72,81212.9,400,Agder
94,Studenthjem/studentboliger,58321,199,501762343.3,5317038.55,8154.0,78,Agder
95,Svømmehall,56133,30,71455677.45,738021.3,16676.0,12,Agder
96,Sykehjem,205561,237,479999155.48,6604043.01,19404.0,94,Agder
97,Sykehus,170033,122,246121936.07,3410459.37,12180.4,46,Agder
98,Terrassehus,134272,462,666551228.54,8989034.45,5837.0,104,Agder
99,"Tomannsbolig, horisontaldelt",368030,4612,10290880487.6,142114385.14,45657.78,1608,Agder
100,"Tomannsbolig, vertikaldelt",1036864,15674,44838359630.65,631748689.33,226560.1,6974,Agder
101,Trafikktilsynsbygning,1598,6,32464048.240000002,460701.73,401.5,5,Agder
102,Tribune og idrettsgarderobe,29763,51,149266611.33,2181161.04,1801.7,26,Agder
103,Ungdomsskole,121820,142,349948254.96,4660590.99,21880.4,72,Agder
104,Univ./høgskole m/auditor.leses,127592,133,220205110.7,3566016.16,8587.0,39,Agder
105,Vandre-/feriehjem,9190,57,181643956.58,1796467.83,2118.4,28,Agder
106,Veksthus,171448,161,959247261.59,14175669.53,84572.8,153,Agder
107,Verkstedbygning,477372,1113,4049247127.99,57283294.24,126107.2,717,Agder
108,Videregående skole,229595,222,460941617.01,6410523.43,49927.0,89,Agder
109,Våningh. benyttes som fritidsb,122252,2136,6101514060.21,65219738.76,3911.6,941,Agder
110,Våningshus,1045936,13632,35224487549.92,477737730.59,82441.6,5531,Agder
111,"Våningshus, tomannsb./horisont.",14969,152,350604831.59,4757454.19,779.9,59,Agder
112,"Våningshus, tomannsb./vertikal.",18297,218,545063567.8,7460995.55,2499.5,92,Agder
113,Zoologisk/botanisk hage (byg.),10442,31,116629875.72,1941960.9300000002,2206.0,20,Agder
