,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
92,Svømmehall,35673,35,93087665.52,3692783.6,1122.0,14,Oslo
93,Sykehjem,412084,366,299292915.28,11919969.31,9040.0,68,Oslo
94,Sykehus,574640,369,319309400.72,12579171.98,7.0,72,Oslo
95,Synagoge moske,18181,30,53184307.4,2119276.47,1416.0,8,Oslo
96,Terrassehus,295463,941,1289811612.25,50760391.21,451.0,196,Oslo
97,"Tomannsbolig, horisontaldelt",1529583,17368,35007329861.32,1389478794.65,23613.0,5627,Oslo
98,"Tomannsbolig, vertikaldelt",1735169,28623,64848838183.06,2574794343.03,56787.1,9926,Oslo
99,Tribune og idrettsgarderobe,5176,19,73157299.44,2882258.25,644.0,11,Oslo
100,Ungdomsskole,103729,110,199493457.65,7945146.39,11286.0,34,Oslo
101,Univ./høgskole m/auditor.leses,535371,369,372475115.3,14685590.68,895.0,76,Oslo
102,Vandre-/feriehjem,3976,10,13315672.7,523320.97000000003,0.0,4,Oslo
103,Veksthus,4466,11,66474032.15,2642215.31,0.0,10,Oslo
104,Verkstedbygning,304526,356,817903274.71,32677908.83,4618.7,154,Oslo
105,Videregående skole,262541,306,418891677.72,16699568.48,1960.0,87,Oslo
106,Våningh. benyttes som fritidsb,151,1,6654699.24,261344.46,0.0,1,Oslo
107,Våningshus,15763,129,246103584.3,9639948.23,153.0,43,Oslo
108,"Våningshus, tomannsb./horisont.",6264,62,126339001.64,4992321.36,93.0,19,Oslo
109,"Våningshus, tomannsb./vertikal.",6117,89,186185007.8,7384412.24,6.0,29,Oslo
110,Zoologisk/botanisk hage (byg.),1866,4,19950218.46,791265.37,755.0,3,Oslo
