,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,982589,7801,14456781595.06,572790505.87,13446.0,2366,Oslo
1,Annen boligbyg.(sek. reindrift,14659,79,172854152.67,6853811.9,1.0,30,Oslo
2,Annen bygn. for religiøs akt.,14622,52,106401812.13,4228680.87,1513.0,18,Oslo
3,Annen bygning for bofellesskap,35172,109,239424841.91,9511970.040000001,0.0,37,Oslo
4,Annen bygning for overnatting,2613,13,19942601.990000002,787318.49,1.0,4,Oslo
5,Annen eksp. og terminalbygning,26322,28,73133008.4,2914603.76,716.0,14,Oslo
6,Annen forretningsbygning,481188,507,671637316.2,26646785.05,639.5,138,Oslo
7,Annen garasje-/hangarbygning,20397,31,133031890.87,5308960.38,2091.7,21,Oslo
8,Annen hotellbygning,6813,21,13307191.96,520231.6,1488.0,5,Oslo
9,Annen idrettsbygning,259858,315,944491659.09,37322575.7,20512.1,155,Oslo
10,Annen industribygning,686561,517,930963950.33,37256645.86,3821.0,203,Oslo
11,Annen kontorbygning,935016,1168,1862023572.63,73758074.02,14324.0,337,Oslo
12,Annen lagerbygning,1134976,1109,2560271008.58,102295666.23,16576.0,444,Oslo
13,Annen landbruksbygning,9512,26,99812180.38,3955816.44,263.0,16,Oslo
14,Annen museum/biblioteksbygning,33211,49,66525371.4,2612104.81,3.0,15,Oslo
15,Annen primærhelsebygning,182198,300,485511261.5,19164127.76,2410.3,93,Oslo
16,Annen restaurantbygning,4796,22,73153912.1,2884985.6700000004,2.0,12,Oslo
17,Annen skolebygning,735561,1123,2214315052.12,88107629.15,14247.8,384,Oslo
18,Annen universitet/høgskolebygn,246815,214,252785061.85,9945334.93,500.0,54,Oslo
19,Annen veg-og trafikktilsynsbygning,26287,28,59848367.25,2366350.93,1.0,11,Oslo
20,Annet kulturhus,76969,169,292645948.77,11586638.09,259.0,46,Oslo
21,Annet sykehjem,21768,44,39904761.22,1571558.51,1.0,9,Oslo
22,Appartement,5619,8,6649455.34,261646.37,0.0,1,Oslo
23,Bankbygning posthus,66363,30,33249210.02,1315662.08,2.0,5,Oslo
24,Barnehage,322876,1103,3125376253.34,124124261.99,17495.7,520,Oslo
25,Barneskole,307157,424,917404452.98,36596016.79,4415.8,157,Oslo
26,Bedehus menighetshus,20718,72,119692454.83,4742705.81,129.0,20,Oslo
27,Bensinstasjon,35574,114,432247415.24,17247924.94,626.0,78,Oslo
28,Bibliotek mediatek,89622,55,39899728.74,1567730.25,3209.0,7,Oslo
29,Bo- og behandlingssenter,159741,303,412258374.36,16386118.02,3923.0,70,Oslo
30,Bo- og servicesenter,137504,274,379053752.04,15073914.06,2938.7,63,Oslo
31,Boligbrakker,33784,124,445527770.6,17875392.35,4742.0,67,Oslo
32,Brannstasjon ambulansestasjon,12307,22,53204075.82,2116277.04,2255.0,9,Oslo
33,Butikk/forretningsbygning,785972,1160,1742210616.47,69173635.35,7809.0,316,Oslo
34,Bygn.for vannfors.bla. pumpest,12788,30,86475286.13,3384289.65,1380.0,14,Oslo
35,Bygning for renseanlegg,5224,21,59849365.21,2370355.75,111.0,9,Oslo
36,Camping/utleiehytte,1475,6,33261152.1,1297574.4100000001,0.0,5,Oslo
37,Diskotek ungdomsklubb,2619,11,33253512.95,1307300.2,2.0,5,Oslo
38,Driftsb. fiske/fangst/oppdr,783,5,13330950.66,511997.98,108.0,3,Oslo
39,Eksp.bygn. flyterm. kontr.tårn,32492,13,19948182.79,792082.86,0.0,8,Oslo
40,Enebolig,5253227,62892,148517702979.42,5884724878.2,240394.4,23106,Oslo
41,Enebolig m/hybel/sokkelleil.,538643,5268,12388460370.62,491370560.08,14939.8,2009,Oslo
42,Fabrikkbygning,994104,1000,1443078429.53,57766239.02,21826.0,335,Oslo
43,Fritidsbygg(hyttersommerh. ol,9023,93,239452786.24,9486894.49,941.0,43,Oslo
44,Fyrstasjon losstasjon,379,2,6644940.09,267287.24,0.0,1,Oslo
45,Garasjeuth.anneks til fritidb,1422,10,53198572.51,2118930.31,275.0,8,Oslo
46,Garasjeuthus anneks til bolig,2072259,3390,17542351039.03,696305052.59,52469.4,2667,Oslo
47,Gatekjøkken kioskbygning,2519,23,99724347.1,3969537.52,161.0,15,Oslo
48,Godsterminal,164577,34,46550061.1,1871623.14,2.0,14,Oslo
49,Helse-/sosialsent. helsestasj.,37816,51,86443780.74000001,3451402.7399999998,222.0,15,Oslo
50,Helsestudio,3328,16,26602719.14,1046355.4400000001,0.0,5,Oslo
51,Helårsb.benyttes som fritidsb.,436,5,13312127.25,519491.68000000005,0.0,2,Oslo
52,Hospits pensjonat,23643,40,59852423.92,2359687.09,322.0,9,Oslo
53,Hotellbygning,750521,966,744846689.39,29351786.14,4467.0,147,Oslo
54,Hus for dyr/landbr.lager/silo,12311,34,126482124.72,4951114.23,2480.0,20,Oslo
55,Idrettshall,255344,206,478795303.07,19054706.5,17979.9,84,Oslo
56,Ishall,32011,16,33248624.45,1318267.34,1815.0,6,Oslo
57,Jernbane- og T-banestasjon,32120,53,106398260.84,4211218.92,5.0,20,Oslo
58,Kino/teater/opera/konsertbygn,126020,115,172909910.17,6825392.55,1181.0,28,Oslo
59,Kirke kapell,53461,182,398969877.76,15782724.78,11.0,69,Oslo
60,Kjede/atriumhus,419305,6031,15187119284.41,605126872.77,3178.4,2307,Oslo
61,Kjøle- og fryselager,41283,18,39910616.32,1598801.1600000001,2.0,9,Oslo
62,Kjøpesenter varehus,890219,538,598432074.41,23795979.15,10763.0,161,Oslo
63,"Klinikk, legekontor/-senter/-vakt/dyresykehus",69617,46,79785825.97,3136173.13,2.0,15,Oslo
64,Komb. barne- og ungdomsskole,204607,185,319172259.4,12701121.33,9931.0,57,Oslo
65,Kontor- og adm.bygning rådhus,7295438,7942,7607552787.64,300661796.53,61946.1,1465,Oslo
66,Kremat. gravkapell bårehus,3804,9,19955887.75,792835.39,1.0,4,Oslo
67,Laboratoriebygning,53195,32,26608842.38,1036859.3,2.0,4,Oslo
68,Lagerhall,561835,436,1403134728.02,56209287.089999996,45578.2,258,Oslo
69,Lekepark,22709,105,325868764.62,12915625.69,2.0,54,Oslo
70,Mediabygning,20043,29,39912995.769999996,1575310.07,0.0,8,Oslo
71,Messe- og kongressbygning,3553,5,6649613.33,261721.01,0.0,1,Oslo
72,Museum kunstgalleri,170203,184,292577655.62,11473037.5,2154.0,54,Oslo
73,Naust båthus sjøbu,1002,8,33241688.46,1294782.94,0.0,5,Oslo
74,Offentlig toalett,205,1,6648620.31,262590.64,0.0,1,Oslo
75,Parkeringshus,493114,203,585247827.53,23209133.86,9563.0,93,Oslo
76,Politistasjon,44012,40,33255018.65,1323528.6600000001,0.0,6,Oslo
77,Postterminal,54748,16,26600535.5,1057067.5,1.0,9,Oslo
78,Rehabiliter.institusjon.kurbad,15876,20,39904249.71,1588389.8,3.0,6,Oslo
79,Rekkehus,2191904,40908,102024505604.79,4073365156.78,42512.6,15386,Oslo
80,Restaurantbygning kafebygning,66145,278,572009200.97,22526325.01,69.0,92,Oslo
81,Samfunnshus grendehus,57389,194,352388339.78,14049718.790000001,1.0,64,Oslo
82,Sentralkjøkken kantinebygning,1065,2,13279577.39,534099.77,399.0,2,Oslo
83,Seterhus sel rorbu o.l.,85,2,6649648.94,256399.19,0.0,1,Oslo
84,Skogs- og utmarkskoie gamme,258,2,6672896.01,256714.28,214.8,1,Oslo
85,Store sammenb. boligbygg på 3 og 4 etg.,23001,91,133016368.97,5279703.02,1637.0,21,Oslo
86,Store sammenb. boligbygg på 5 etg. el. mer,172901,423,385710018.06,15294683.03,20554.0,60,Oslo
87,Store sammenbygde boligbygg på 2 etg.,12423,53,79819536.35,3162185.42,3.0,13,Oslo
88,Stort frittliggende boligbygg på 2 etg.,267111,1094,2187965145.15,86710211.77,5598.8,352,Oslo
89,Stort frittliggende boligbygg på 3 og 4 etg.,8236821,25335,34214378423.71,1355048300.15,50171.8,5300,Oslo
90,Stort frittliggende boligbygg på 5 etg. el. mer,12596258,28904,26668484374.52,1056506522.14,106988.8,4146,Oslo
91,Studenthjem/studentboliger,540097,920,904827481.51,35656819.09,4736.0,146,Oslo
