,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,145404,1122,3658086120.35,434859258.14,39250.41,475,Finnmark
1,Annen boligbyg.(sek. reindrift,17600,123,407776032.4,47021126.85,3967.6,52,Finnmark
2,Annen bygn. for religiøs akt.,3009,19,78417521.34,9243074.26,1515.0,10,Finnmark
3,Annen bygning for bofellesskap,24780,108,461935101.17,52674733.11,11584.2,61,Finnmark
4,Annen bygning for overnatting,25007,110,423622208.92,48300877.35,7155.2,55,Finnmark
5,Annen eksp. og terminalbygning,16163,31,156360031.48,18756173.31,7235.7,21,Finnmark
6,Annen fiskeri- og fangstbygn.,46046,92,433709876.35,53393910.43,25007.92,57,Finnmark
7,Annen forretningsbygning,146171,412,1312920683.91,153827520.93,43772.81,194,Finnmark
8,Annen garasje-/hangarbygning,30758,69,462165247.13,55960355.19,24992.0,62,Finnmark
9,Annen hotellbygning,20021,76,274727450.7,30992475.36,11490.1,36,Finnmark
10,Annen idrettsbygning,22431,80,406880717.01,48313789.85,8650.08,53,Finnmark
11,Annen industribygning,395822,607,2912791404.67,343407576.12,151594.15,406,Finnmark
12,Annen kontorbygning,117606,384,1290601926.65,150869154.2,27006.5,182,Finnmark
13,Annen lagerbygning,93325,286,1799955964.63,211726937.38,47209.3,234,Finnmark
14,Annen landbruksbygning,30016,179,1289142383.15,165717668.47,10201.3,165,Finnmark
15,Annen museum/biblioteksbygning,558,4,23521787.07,2993004.7,0.0,3,Finnmark
16,Annen primærhelsebygning,9156,29,117085769.91,13685294.9,4209.43,18,Finnmark
17,Annen restaurantbygning,8415,53,165060555.27,19172817.11,3635.7,24,Finnmark
18,Annen skolebygning,30636,64,257952071.13,29862533.54,4936.0,37,Finnmark
19,Annen universitet/høgskolebygn,1130,5,23271629.33,2784596.12,123.0,4,Finnmark
20,Annen veg-og trafikktilsynsbygning,7760,24,140791845.26,17504467.77,1759.2,19,Finnmark
21,Annet kulturhus,13381,65,251030179.0,30245540.96,3859.05,35,Finnmark
22,Annet sykehjem,27172,14,46680415.94,5050371.57,5664.0,6,Finnmark
23,Appartement,2573,10,31290163.810000002,3754164.33,658.0,4,Finnmark
24,Bankbygning posthus,10419,41,117768155.62,14287537.35,1104.6,16,Finnmark
25,Barnehage,44648,137,719362727.2,83325438.59,23757.9,98,Finnmark
26,Barneskole,75768,105,351662919.67,39442460.08,27123.0,57,Finnmark
27,Bedehus menighetshus,15717,100,438235405.79,51927539.0,4763.5,56,Finnmark
28,Bensinstasjon,16507,63,273900532.55,31977702.03,5711.2,42,Finnmark
29,Bibliotek mediatek,5950,13,39193392.84,4567486.13,749.0,5,Finnmark
30,Bo- og behandlingssenter,31481,61,226596405.32,27107547.69,13327.0,31,Finnmark
31,Bo- og servicesenter,59317,97,399557506.99,46607341.45,20703.0,52,Finnmark
32,Boligbrakker,18607,60,289480023.63,33185476.15,8451.0,38,Finnmark
33,Brannstasjon ambulansestasjon,16162,37,156369450.01,17435579.4,8887.0,20,Finnmark
34,Butikk/forretningsbygning,330206,1035,3182833959.11,372801257.23,121357.58,478,Finnmark
35,Bygn.for vannfors.bla. pumpest,5767,31,164419287.84,19543922.23,3111.0,22,Finnmark
36,Bygning for renseanlegg,3410,15,70376193.41,7818100.89,1637.45,11,Finnmark
37,Camping/utleiehytte,5534,49,281883924.64,32357506.94,2820.0,36,Finnmark
38,Diskotek ungdomsklubb,1655,7,23611083.92,3156578.54,168.0,4,Finnmark
39,Driftsb. fiske/fangst/oppdr,94603,247,1210899578.86,139253537.64,46930.68,161,Finnmark
40,Eksp.bygn. flyterm. kontr.tårn,22032,48,109647220.99,13654782.559999999,7607.4,23,Finnmark
41,Enebolig,2491738,31328,118626062438.32,13942247612.36,499093.02,15318,Finnmark
42,Enebolig m/hybel/sokkelleil.,435482,4555,15598411698.49,1780860697.9,120014.85,2033,Finnmark
43,Fabrikkbygning,60294,77,360891607.26,42513566.72,29169.5,48,Finnmark
44,Fritidsbygg(hyttersommerh. ol,135353,1887,9920714701.17,1152501453.27,67111.16,1270,Finnmark
45,Fyrstasjon losstasjon,240,2,7824558.47,1077434.77,0.0,1,Finnmark
46,Garasjeuth.anneks til fritidb,4995,51,305932410.58,36144267.74,3108.34,39,Finnmark
47,Garasjeuthus anneks til bolig,68439,691,4404433686.24,535989658.99,27945.58,567,Finnmark
48,Gatekjøkken kioskbygning,2520,16,94138374.21000001,11490025.22,1546.1,14,Finnmark
49,Godsterminal,17376,23,117329019.82,13249706.03,6061.0,17,Finnmark
50,Helse-/sosialsent. helsestasj.,16192,24,93676910.71,10769176.18,4491.0,15,Finnmark
51,Helsestudio,2297,5,31357366.89,3508548.61,1114.0,4,Finnmark
52,Helårsb.benyttes som fritidsb.,46960,858,2726379711.93,301460898.38,3123.7,348,Finnmark
53,Hospits pensjonat,4915,35,79033700.08,9016576.98,462.0,13,Finnmark
54,Hotellbygning,117397,251,532937724.09000003,60085742.76,19339.5,90,Finnmark
55,Hus for dyr/landbr.lager/silo,218200,1043,6475992355.87,752062048.7,56900.4,855,Finnmark
56,Idrettshall,77239,46,187848336.93,21930776.03,19652.59,24,Finnmark
57,Kino/teater/opera/konsertbygn,5529,10,23682952.23,2807599.21,1696.0,3,Finnmark
58,Kirke kapell,10364,51,258395514.44,29568656.6,3943.2,35,Finnmark
59,Kjede/atriumhus,16415,198,837407758.52,100128327.6,6144.1,107,Finnmark
60,Kjøle- og fryselager,31747,46,211990494.32,25333450.98,13201.4,35,Finnmark
61,Kjøpesenter varehus,256453,188,477861954.53,54996059.77,61996.4,76,Finnmark
62,"Klinikk, legekontor/-senter/-vakt/dyresykehus",51910,52,156622622.54,18128961.9,20690.6,25,Finnmark
63,Komb. barne- og ungdomsskole,86067,102,352344500.66,40727282.32,43889.2,56,Finnmark
64,Kontor- og adm.bygning rådhus,175434,408,1135494707.86,133054152.78,35727.5,167,Finnmark
65,Kremat. gravkapell bårehus,1452,10,54751720.79,6741955.72,204.0,7,Finnmark
66,Laboratoriebygning,1700,4,15554597.600000001,2168131.0999999996,260.0,2,Finnmark
67,Lagerhall,180913,462,3091360454.66,367453010.21,88638.68,413,Finnmark
68,Lekepark,2723,7,46786809.6,5026110.82,300.0,7,Finnmark
69,Mediabygning,6253,15,69717307.85,8246299.44,2005.0,10,Finnmark
70,Motellbygning,9210,32,141263492.7,16113789.17,3407.8,18,Finnmark
71,Museum kunstgalleri,22654,56,195646497.49,23688174.39,9082.3,27,Finnmark
72,Naust båthus sjøbu,2894,31,172375270.95,19416633.48,696.4,23,Finnmark
73,Naust/redskapshus for fiske,11983,64,276038967.06,31505529.81,2632.7799999999997,37,Finnmark
74,Offentlig toalett,282,3,15579047.91,1882171.3599999999,0.0,2,Finnmark
75,Parkeringshus,10436,7,31430695.72,3522868.96,2899.0,4,Finnmark
76,Politistasjon,10052,25,86285295.64,10561076.57,2397.3,12,Finnmark
77,Postterminal,3781,7,39274022.99,4828728.3100000005,3142.0,5,Finnmark
78,Rehabiliter.institusjon.kurbad,7474,20,70202231.81,8046212.33,2961.0,11,Finnmark
79,Rekkehus,203875,3313,12195851762.26,1385448545.21,66962.5,1560,Finnmark
80,Restaurantbygning kafebygning,61923,201,650225811.95,74674772.25,12173.3,94,Finnmark
81,Samfunnshus grendehus,36575,136,594743427.63,69337320.44,6339.4,83,Finnmark
82,Sentralkjøkken kantinebygning,16052,18,70375777.62,7874035.94,3767.7,9,Finnmark
83,Seterhus sel rorbu o.l.,700,7,31397946.46,3549193.71,386.0,4,Finnmark
84,Skogs- og utmarkskoie gamme,725,7,46660257.22,5145461.58,0.0,6,Finnmark
85,Store sammenb. boligbygg på 3 og 4 etg.,20256,56,117371083.85,13055961.4,4281.3,15,Finnmark
86,Store sammenb. boligbygg på 5 etg. el. mer,43160,69,93882144.97,9810270.69,11380.5,12,Finnmark
87,Store sammenbygde boligbygg på 2 etg.,4753,24,78135488.26,9149382.47,2994.9,10,Finnmark
88,Stort frittliggende boligbygg på 2 etg.,98814,507,1690372503.69,194688979.05,26879.2,217,Finnmark
89,Stort frittliggende boligbygg på 3 og 4 etg.,98734,374,789581360.79,88992410.87,28704.6,101,Finnmark
90,Stort frittliggende boligbygg på 5 etg. el. mer,61165,121,156566546.24,16623298.51,13762.1,21,Finnmark
91,Studenthjem/studentboliger,33970,130,483505961.64,53812070.26,6060.4,63,Finnmark
92,Svømmehall,22223,17,70573695.06,8868644.049999999,6780.0,9,Finnmark
93,Sykehjem,24129,48,141097107.67000002,15628994.9,649.0,22,Finnmark
94,Sykehus,80779,24,70519904.46000001,8010283.29,41828.0,11,Finnmark
95,Terrassehus,9353,25,46954437.96,5951073.73,2252.0,6,Finnmark
96,"Tomannsbolig, horisontaldelt",156696,2109,5223474244.04,615868328.57,40274.69,679,Finnmark
97,"Tomannsbolig, vertikaldelt",258766,3975,13798731647.88,1659045054.19,76661.44,1773,Finnmark
98,Trafikktilsynsbygning,5389,16,62358260.46,7256991.7299999995,465.0,10,Finnmark
99,Tribune og idrettsgarderobe,326,3,15664651.67,1698967.2000000002,366.0,2,Finnmark
100,Ungdomsskole,40686,24,70312749.65,8054721.15,10212.0,11,Finnmark
101,Univ./høgskole m/auditor.leses,30557,11,46676826.91,4904323.1899999995,3098.0,6,Finnmark
102,Vandre-/feriehjem,1622,12,47004074.83,5585611.23,400.0,6,Finnmark
103,Veksthus,4244,21,164015379.89,19949560.01,1593.0,21,Finnmark
104,Verkstedbygning,180184,369,1823075136.79,213313200.54,79905.55,258,Finnmark
105,Videregående skole,102742,90,265774746.5,30217041.65,33147.0,38,Finnmark
106,Våningh. benyttes som fritidsb,43354,926,2691496686.77,291481075.47,1709.4,345,Finnmark
107,Våningshus,147308,2335,7660918126.87,903278849.44,10986.2,997,Finnmark
108,"Våningshus, tomannsb./horisont.",2380,30,70239028.3,7971744.85,0.0,11,Finnmark
109,"Våningshus, tomannsb./vertikal.",3480,43,148166156.16,16886037.580000002,851.0,19,Finnmark
