,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,737513,5491,15071319829.58,619461494.2,176085.8,2264,Innlandet
1,Annen boligbyg.(sek. reindrift,77439,591,1805794188.29,77062562.99,5866.0,267,Innlandet
2,Annen bygn. for religiøs akt.,8193,48,162255237.23,6824201.47,1548.0,24,Innlandet
3,Annen bygning for bofellesskap,99137,297,1001540192.35,41433212.05,26939.0,151,Innlandet
4,Annen bygning for overnatting,111580,541,1770438502.32,64767154.08,24699.8,265,Innlandet
5,Annen eksp. og terminalbygning,80989,118,392445752.91,15493791.45,19832.0,66,Innlandet
6,Annen fiskeri- og fangstbygn.,4579,13,81170514.31,2860227.98,4007.0,12,Innlandet
7,Annen forretningsbygning,764022,1869,5468350916.76,219590399.46,141162.2,872,Innlandet
8,Annen garasje-/hangarbygning,75011,259,1564142173.08,59547092.72,30807.0,234,Innlandet
9,Annen hotellbygning,60333,200,571395881.04,19934664.76,9155.1,86,Innlandet
10,Annen idrettsbygning,151893,626,2971608964.97,119442717.16,52894.9,450,Innlandet
11,Annen industribygning,1595630,2436,10837467860.89,437849696.59,368874.72,1768,Innlandet
12,Annen kontorbygning,585412,1526,4001634648.47,164456554.54,99712.3,645,Innlandet
13,Annen lagerbygning,631668,1795,10323135641.34,408095253.79,213894.8,1552,Innlandet
14,Annen landbruksbygning,981874,5107,29719057616.54,1196810998.64,465197.65,4476,Innlandet
15,Annen museum/biblioteksbygning,19687,88,394328025.6,15285027.58,8680.5,58,Innlandet
16,Annen primærhelsebygning,40244,122,343810066.02,14180658.01,4172.2,55,Innlandet
17,Annen restaurantbygning,22140,108,421242565.29,16586227.12,8154.5,63,Innlandet
18,Annen skolebygning,101137,321,1170144744.62,47548299.32,20062.0,178,Innlandet
19,Annen universitet/høgskolebygn,53952,100,229672099.65,9360246.48,1624.0,36,Innlandet
20,Annen veg-og trafikktilsynsbygning,24801,72,351481160.35,14336607.95,3718.0,54,Innlandet
21,Annet kulturhus,51422,249,791616846.63,32014543.56,11470.7,127,Innlandet
22,Annet sykehjem,21502,35,94871182.67,3584616.27,2584.0,16,Innlandet
23,Appartement,245360,967,2435635027.12,76135918.19,73917.3,358,Innlandet
24,Bankbygning posthus,86527,224,494981859.39,19368039.0,4023.0,79,Innlandet
25,Barnehage,194436,697,2594074040.29,103514893.1,80462.5,412,Innlandet
26,Barneskole,434551,697,1959944934.53,81266841.64,145690.6,350,Innlandet
27,Bedehus menighetshus,43239,294,953340823.8,38200719.58,6947.5,143,Innlandet
28,Bensinstasjon,74640,308,1267173863.69,50481688.34,8665.0,198,Innlandet
29,Bibliotek mediatek,7862,17,54143794.519999996,2334998.36,1685.0,8,Innlandet
30,Bo- og behandlingssenter,221564,413,1219902589.43,47918152.56,90312.2,194,Innlandet
31,Bo- og servicesenter,187011,416,1628750818.86,64042001.88,54479.8,249,Innlandet
32,Boligbrakker,31665,122,527480374.75,21115698.76,19341.0,79,Innlandet
33,Brannstasjon ambulansestasjon,42642,108,420670242.76,16433525.63,19493.3,67,Innlandet
34,Butikk/forretningsbygning,1505802,3688,10242337129.62,406038139.54,472074.2,1658,Innlandet
35,Bygn.for vannfors.bla. pumpest,49449,221,996653345.8,38286762.71,20493.0,152,Innlandet
36,Bygning for renseanlegg,66996,163,665072629.42,25721773.61,15189.5,105,Innlandet
37,Camping/utleiehytte,49570,485,2350317327.26,74853572.29,23231.7,345,Innlandet
38,Diskotek ungdomsklubb,2645,14,33668644.39,1365216.02,303.0,5,Innlandet
39,Driftsb. fiske/fangst/oppdr,37749,107,630082142.32,26022716.98,17977.3,93,Innlandet
40,Eksp.bygn. flyterm. kontr.tårn,5252,17,61211171.12,1881668.75,130.0,9,Innlandet
41,Enebolig,16549658,197873,599594980893.45,24569527495.13,1957874.52,89725,Innlandet
42,Enebolig m/hybel/sokkelleil.,984701,9894,27206292121.98,1076560566.67,134328.16,4113,Innlandet
43,Fabrikkbygning,947731,955,3509529907.44,139814890.32,270804.2,612,Innlandet
44,Fritidsbygg(hyttersommerh. ol,3825662,42805,209161129443.67,7598472265.88,2323535.95,30788,Innlandet
45,Garasjeuth.anneks til fritidb,63313,517,2610441736.81,99924494.37,19711.8,385,Innlandet
46,Garasjeuthus anneks til bolig,1245116,12643,64630684125.15,2678918494.39,356545.68,9610,Innlandet
47,Gatekjøkken kioskbygning,13269,103,386956183.05,14278638.06,1940.0,61,Innlandet
48,Godsterminal,8384,16,81884838.46000001,2803863.4899999998,3960.0,13,Innlandet
49,Helse-/sosialsent. helsestasj.,19766,67,203181230.22,7984343.06,4479.0,33,Innlandet
50,Helsestudio,36009,57,155589857.26,6197006.78,12164.5,33,Innlandet
51,Helårsb.benyttes som fritidsb.,97038,1554,4763414464.19,187013864.34,7070.2,705,Innlandet
52,Hospits pensjonat,23299,117,251502707.68,9308367.11,1381.0,41,Innlandet
53,Hotellbygning,461283,792,1490262681.95,54109181.12,46377.7,248,Innlandet
