,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
54,Hus for dyr/landbr.lager/silo,3912433,13137,76794355478.7,3027127555.65,1438361.7,11840,Innlandet
55,Idrettshall,315295,237,771192269.82,31670851.21,128103.4,123,Innlandet
56,Ishall,32810,15,47301488.64,2018684.3,16241.0,7,Innlandet
57,Jernbane- og T-banestasjon,14885,101,272224147.11,10462363.709999999,1962.0,41,Innlandet
58,Kino/teater/opera/konsertbygn,38449,79,210041344.25,8453885.78,4656.7,33,Innlandet
59,Kirke kapell,20302,82,366174800.14,14523682.06,5090.3,55,Innlandet
60,Kjede/atriumhus,170015,2145,7948935257.45,329920660.8,58498.1,1179,Innlandet
61,Kjøle- og fryselager,54971,77,384994702.8,16534922.66,21321.0,61,Innlandet
62,Kjøpesenter varehus,1149758,788,2050547947.45,83243299.69,232729.3,361,Innlandet
63,"Klinikk, legekontor/-senter/-vakt/dyresykehus",39538,123,370873205.56,15541317.41,11228.0,62,Innlandet
64,Kloster,477,3,13497672.04,588912.6699999999,100.0,2,Innlandet
65,Komb. barne- og ungdomsskole,101866,131,332030966.96999997,13393839.02,43521.0,59,Innlandet
66,Kontor- og adm.bygning rådhus,775316,1661,3878028240.92,159691347.12,64698.9,630,Innlandet
67,Kremat. gravkapell bårehus,3266,20,74355164.72,2913831.6,386.2,12,Innlandet
68,Laboratoriebygning,2434,8,20272344.049999997,768015.96,283.0,3,Innlandet
69,Lagerhall,900863,1916,11320327740.7,449282054.02,431043.3,1709,Innlandet
70,Lekepark,17348,80,338166286.41,13343903.77,6491.4,54,Innlandet
71,Mediabygning,13068,21,54407459.21,1960471.52,72.0,12,Innlandet
72,Messe- og kongressbygning,27199,25,67636383.36,2696025.8000000003,513.0,11,Innlandet
73,Motellbygning,19548,78,306638729.61,10952216.91,3649.0,45,Innlandet
74,Museum kunstgalleri,112630,445,1489376436.99,60340002.38,17404.0,226,Innlandet
75,Naust båthus sjøbu,2536,14,61193767.76,2225429.6,58.0,9,Innlandet
76,Naust/redskapshus for fiske,1316,3,20541816.35,555449.4199999999,1147.0,3,Innlandet
77,Offentlig toalett,1259,10,61519212.23,2185155.43,543.0,9,Innlandet
78,Parkeringshus,96791,83,339007375.34,13224049.74,24326.4,50,Innlandet
79,Politistasjon,20836,27,40248002.57,1890775.4900000002,2506.0,7,Innlandet
80,Postterminal,25629,15,53954865.33,2270698.62,2716.0,8,Innlandet
81,Rehabiliter.institusjon.kurbad,51014,152,392511301.98,14762273.4,7095.0,65,Innlandet
82,Rekkehus,600156,7824,24040894368.78,1022897520.44,79007.0,3572,Innlandet
83,Restaurantbygning kafebygning,173078,758,2383494260.24,90090864.7,36200.0,367,Innlandet
84,Samfunnshus grendehus,146818,691,2355418780.1,97126546.87,19605.0,364,Innlandet
85,Sentralkjøkken kantinebygning,12437,32,128691605.08,5035879.16,3448.0,20,Innlandet
86,Seterhus sel rorbu o.l.,65284,786,4378044111.42,150801108.88,19830.2,645,Innlandet
87,Skogs- og utmarkskoie gamme,3620,50,236051367.24,10482137.09,318.0,35,Innlandet
88,Store sammenb. boligbygg på 3 og 4 etg.,85682,232,412134149.92,16210798.93,18034.0,66,Innlandet
89,Store sammenb. boligbygg på 5 etg. el. mer,196412,350,412268648.37,16763174.290000001,40464.0,63,Innlandet
90,Store sammenbygde boligbygg på 2 etg.,35267,175,520305732.12,20891655.53,10241.3,79,Innlandet
91,Stort frittliggende boligbygg på 2 etg.,273531,1108,3299483610.41,134045112.41,73061.3,494,Innlandet
92,Stort frittliggende boligbygg på 3 og 4 etg.,1236474,3571,6082176699.51,255548114.33,160016.2,906,Innlandet
93,Stort frittliggende boligbygg på 5 etg. el. mer,511580,1014,1182052965.38,48619806.06,73937.6,176,Innlandet
94,Studenthjem/studentboliger,118951,457,1089097172.88,44253576.39,21279.0,164,Innlandet
95,Svømmehall,51898,46,122126047.96000001,4940347.390000001,19069.0,20,Innlandet
96,Sykehjem,268923,291,664040356.43,27245851.080000002,64104.2,119,Innlandet
97,Sykehus,180064,191,364769811.89,15292299.65,11685.0,71,Innlandet
98,Terrassehus,43698,170,303434977.89,13025334.8,4637.0,45,Innlandet
99,"Tomannsbolig, horisontaldelt",543375,6403,15584576920.02,622043243.66,54328.8,2335,Innlandet
100,"Tomannsbolig, vertikaldelt",999711,13726,47369281637.71,1941916342.46,300363.6,7056,Innlandet
101,Trafikktilsynsbygning,7864,24,101946823.17,3485629.93,1597.0,16,Innlandet
102,Tribune og idrettsgarderobe,21411,68,243218886.48,10090624.92,7188.0,38,Innlandet
103,Ungdomsskole,217966,241,548115419.86,21518733.28,66895.6,98,Innlandet
104,Univ./høgskole m/auditor.leses,126792,132,263469762.38,11176211.64,22890.0,42,Innlandet
105,Vandre-/feriehjem,17945,114,368531253.64,12400226.01,3108.2,55,Innlandet
106,Veksthus,133228,177,1080465896.43,44954818.57,33588.0,170,Innlandet
107,Verkstedbygning,747900,1809,7787409872.2,311740449.57,195450.7,1253,Innlandet
108,Videregående skole,309681,249,601989359.87,24221420.05,51818.0,97,Innlandet
109,Våningh. benyttes som fritidsb,105243,1706,5298985652.14,225346165.31,7774.1,781,Innlandet
110,Våningshus,5052981,58460,163767380719.53,6475213658.3,447316.55,24482,Innlandet
111,"Våningshus, tomannsb./horisont.",157905,1570,3962652069.95,138780179.18,13107.4,591,Innlandet
112,"Våningshus, tomannsb./vertikal.",113439,1135,3185766021.02,120287133.11,14123.0,479,Innlandet
