,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
98,"Tomannsbolig, horisontaldelt",966808,11851,25666223918.26,1031583318.49,77036.89,4085,Akershus
99,"Tomannsbolig, vertikaldelt",2771464,42663,115691308278.35,4653924690.16,653001.73,17661,Akershus
100,Trafikktilsynsbygning,6660,15,39979052.81,1674367.88,263.0,9,Akershus
101,Tribune og idrettsgarderobe,17045,65,259669617.0,10544118.24,7475.2,41,Akershus
102,Ungdomsskole,347718,320,738690960.64,29777417.82,69389.6,133,Akershus
103,Univ./høgskole m/auditor.leses,100288,67,79668922.98,3252565.15,33622.0,21,Akershus
104,Vandre-/feriehjem,1505,16,39901179.72,1588609.35,0.0,7,Akershus
105,Veksthus,109256,112,604567600.03,23981395.25,22590.0,106,Akershus
106,Verkstedbygning,848414,1185,3705690715.22,151738227.89,220148.7,671,Akershus
107,Videregående skole,394119,320,665000886.53,27075116.830000002,51514.3,141,Akershus
108,Våningh. benyttes som fritidsb,7532,119,380589902.12,16446416.35,12.0,57,Akershus
109,Våningshus,1049119,11272,31183992775.39,1331956523.16,69000.8,4848,Akershus
110,"Våningshus, tomannsb./horisont.",33429,315,793485745.03,32389741.79,1901.0,121,Akershus
111,"Våningshus, tomannsb./vertikal.",25764,232,552972257.74,22804094.91,1809.4,90,Akershus
