,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,935209,6866,17612629995.4,718246278.24,207193.68,2712,Akershus
1,Annen boligbyg.(sek. reindrift,106151,769,1856126356.65,73572789.77,6091.6,304,Akershus
2,Annen bygn. for religiøs akt.,12347,62,199595337.18,8017417.82,3455.9,32,Akershus
3,Annen bygning for bofellesskap,96027,343,971580486.17,39148273.59,25817.0,155,Akershus
4,Annen bygning for overnatting,27471,127,379760992.28,15719253.43,7655.0,58,Akershus
5,Annen eksp. og terminalbygning,80952,80,272735802.89,11108735.0,10083.6,44,Akershus
6,Annen fiskeri- og fangstbygn.,94,1,6642409.05,309342.9,0.0,1,Akershus
7,Annen forretningsbygning,1024453,1511,3412498323.25,139215331.51,224570.82,645,Akershus
8,Annen garasje-/hangarbygning,133679,130,612187192.51,25226288.89,57075.5,98,Akershus
9,Annen hotellbygning,28774,36,46625734.69,1951662.68,5531.0,12,Akershus
10,Annen idrettsbygning,184210,414,1629844471.36,65180781.54,45350.7,262,Akershus
11,Annen industribygning,1167773,1261,4052175783.73,167330675.21,390993.9,779,Akershus
12,Annen kontorbygning,939627,1518,3433405012.77,138976193.41,143333.8,628,Akershus
13,Annen lagerbygning,1469079,1142,4770773138.38,195446573.16,845792.6,775,Akershus
14,Annen landbruksbygning,518002,1938,9231362890.42,382184755.38,213564.76,1527,Akershus
15,Annen museum/biblioteksbygning,8288,16,73276767.38,2990557.17,5698.0,11,Akershus
16,Annen primærhelsebygning,46890,123,339437405.02,13587171.55,5167.4,59,Akershus
17,Annen restaurantbygning,9687,58,159615187.29,6531303.7,3252.7,27,Akershus
18,Annen skolebygning,183321,385,1284058679.06,51920031.49,37527.9,221,Akershus
19,Annen universitet/høgskolebygn,84280,108,265388352.23,10636171.7,20872.0,53,Akershus
20,Annen veg-og trafikktilsynsbygning,26004,72,306538066.32,12734873.68,1799.8,51,Akershus
21,Annet kulturhus,42022,171,452002184.86,18102606.08,7247.0,73,Akershus
22,Annet sykehjem,55002,66,159388586.45,6285473.41,10717.0,26,Akershus
23,Appartement,4564,9,19827775.560000002,722316.31,0.0,3,Akershus
24,Bankbygning posthus,29680,66,133081014.86,5573632.93,2917.0,24,Akershus
25,Barnehage,376588,1094,3916977160.88,157542106.21,128332.72,628,Akershus
26,Barneskole,821562,1002,2101955111.7,84253350.93,188670.7,421,Akershus
27,Bedehus menighetshus,39100,202,545688244.86,22476630.93,3831.8,95,Akershus
28,Bensinstasjon,42687,177,778462463.5,31529309.85,7457.3,142,Akershus
29,Bibliotek mediatek,15994,15,33183103.98,1304204.74,2262.0,5,Akershus
30,Bo- og behandlingssenter,403540,511,1182942133.68,48624340.69,60725.9,212,Akershus
31,Bo- og servicesenter,155154,351,1050357320.43,42425488.46,30309.0,166,Akershus
32,Boligbrakker,52090,195,738925934.96,29608737.74,23898.6,112,Akershus
33,Brannstasjon ambulansestasjon,49645,85,179483853.18,7379474.33,11267.8,37,Akershus
34,Butikk/forretningsbygning,1330958,1988,4245761487.32,174134642.95,333603.4,801,Akershus
35,Bygn.for vannfors.bla. pumpest,40872,137,558579748.45,22685036.26,16841.5,91,Akershus
36,Bygning for renseanlegg,57073,126,439207002.96,18245767.91,25236.9,80,Akershus
37,Camping/utleiehytte,8664,123,350614679.88,13324670.26,3367.4,53,Akershus
38,Diskotek ungdomsklubb,1659,9,20003847.4,811283.03,187.0,3,Akershus
39,Driftsb. fiske/fangst/oppdr,14002,40,219711372.45,9258617.89,10035.6,33,Akershus
40,Eksp.bygn. flyterm. kontr.tårn,491142,99,166895245.55,7089897.54,73199.0,36,Akershus
41,Enebolig,15345697,181092,507457708614.99,20646342912.79,2542257.65,78944,Akershus
42,Enebolig m/hybel/sokkelleil.,2700564,27494,68584077657.94,2740480945.3,435672.7,10852,Akershus
43,Fabrikkbygning,555501,599,1437956838.49,59090309.44,112193.3,308,Akershus
44,Fritidsbygg(hyttersommerh. ol,341119,4859,20057700694.32,790007774.05,122312.61,3036,Akershus
45,Garasjeuth.anneks til fritidb,8614,53,239344862.26,9705428.38,5030.5,37,Akershus
46,Garasjeuthus anneks til bolig,1391913,6523,32117710263.54,1313389188.76,319313.56,4897,Akershus
47,Gatekjøkken kioskbygning,5322,41,166175738.84,6717824.57,1328.8,28,Akershus
48,Godsterminal,21854,10,26643211.84,1093447.6099999999,1040.0,6,Akershus
49,Helse-/sosialsent. helsestasj.,50735,75,172924008.26,6856073.22,11297.0,31,Akershus
50,Helsestudio,25053,36,79872894.94,3250622.32,6546.0,18,Akershus
51,Helårsb.benyttes som fritidsb.,5892,86,267208931.14,10832238.0,610.0,40,Akershus
52,Hotellbygning,501406,446,465910781.64,18885656.27,67899.4,125,Akershus
53,Hus for dyr/landbr.lager/silo,862433,2852,13779873376.64,579388147.95,328069.0,2362,Akershus
54,Idrettshall,461128,322,990666216.09,39939810.74,218207.3,167,Akershus
55,Ishall,40526,20,46503200.89,1837872.05,10226.5,10,Akershus
56,Jernbane- og T-banestasjon,16997,50,146541446.38,5802485.44,691.0,23,Akershus
57,Kino/teater/opera/konsertbygn,63730,78,126281622.7,5021060.79,9489.8,22,Akershus
58,Kirke kapell,36269,106,319093222.03,12815603.72,6785.0,52,Akershus
59,Kjede/atriumhus,710799,10024,29414128942.02,1197568070.64,192371.0,4460,Akershus
60,Kjøle- og fryselager,252825,82,279797871.01,11633331.57,159077.0,51,Akershus
61,Kjøpesenter varehus,1527487,617,1177557903.42,48124026.28,267094.1,253,Akershus
62,"Klinikk, legekontor/-senter/-vakt/dyresykehus",29287,89,246246781.07,10146459.040000001,5059.8,42,Akershus
63,Kloster,1103,4,6649624.36,254690.88,0.0,1,Akershus
64,Komb. barne- og ungdomsskole,128853,104,306253694.94,12586048.02,45564.8,49,Akershus
65,Kontor- og adm.bygning rådhus,2283570,2098,3556933230.82,139955430.04,116493.6,672,Akershus
66,Kremat. gravkapell bårehus,2457,11,46461115.33,1808813.69,415.0,8,Akershus
67,Laboratoriebygning,30973,59,119720434.66,5003352.58,5581.0,27,Akershus
68,Lagerhall,3522252,1615,6879089326.51,281919655.87,1307353.3,1192,Akershus
69,Lekepark,56753,176,531789389.8,20906139.13,5563.3,97,Akershus
70,Mediabygning,43640,49,66506450.02,2573401.91,1.0,20,Akershus
71,Messe- og kongressbygning,136597,72,246378864.39000002,10174589.92,88172.0,38,Akershus
72,Motellbygning,8069,4,6700109.81,290230.26,0.0,1,Akershus
73,Museum kunstgalleri,23826,53,153211549.9,6196845.72,4537.0,24,Akershus
74,Naust båthus sjøbu,707,8,39846203.05,1524036.73,114.0,6,Akershus
75,Naust/redskapshus for fiske,545,2,13303487.24,559864.31,152.0,2,Akershus
76,Offentlig toalett,686,8,33228718.21,1262239.3900000001,288.0,6,Akershus
77,Parkeringshus,1190469,420,1628338372.12,64008814.47,63258.2,251,Akershus
78,Politistasjon,34923,35,46545774.36,1876187.51,1931.0,7,Akershus
79,Postterminal,130253,16,33265525.51,1352346.65,29197.0,5,Akershus
80,Rehabiliter.institusjon.kurbad,47346,106,186030256.19,7185236.17,3305.7,41,Akershus
81,Rekkehus,2692153,48303,128843647819.35,5187311199.64,556543.08,19425,Akershus
82,Restaurantbygning kafebygning,62672,318,818241320.49,32988321.02,10583.6,144,Akershus
83,Samfunnshus grendehus,67654,273,745403505.05,30699225.05,3813.8,131,Akershus
84,Sentralkjøkken kantinebygning,6708,15,39947788.81,1594516.5,651.0,8,Akershus
85,Seterhus sel rorbu o.l.,1327,11,46604680.01,2011821.21,353.3,7,Akershus
86,Skogs- og utmarkskoie gamme,751,10,39937349.23,1626799.61,184.0,6,Akershus
87,Store sammenb. boligbygg på 3 og 4 etg.,295603,664,1077739326.51,43972569.06,59100.5,167,Akershus
88,Store sammenb. boligbygg på 5 etg. el. mer,935182,1743,1842431317.15,75020830.26,162664.9,279,Akershus
89,Store sammenbygde boligbygg på 2 etg.,29517,75,206149250.93,8640983.59,5441.8,31,Akershus
90,Stort frittliggende boligbygg på 2 etg.,574972,2408,7209535115.01,297293546.81,155415.97,1090,Akershus
91,Stort frittliggende boligbygg på 3 og 4 etg.,3825261,8912,14635784912.52,582708579.09,512577.3,2251,Akershus
92,Stort frittliggende boligbygg på 5 etg. el. mer,3163545,5710,6255266179.8,248643978.43,417444.9,949,Akershus
93,Studenthjem/studentboliger,62753,166,278342188.89,11079400.58,17461.5,42,Akershus
94,Svømmehall,61105,38,106450090.75,4360282.5,21663.0,19,Akershus
95,Sykehjem,208237,189,345858137.37,13971621.09,39949.2,73,Akershus
96,Sykehus,304913,165,246619564.04,10015689.45,25648.0,51,Akershus
97,Terrassehus,481809,1211,1767528047.8,69543319.88,34300.7,268,Akershus
