,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,682950,5615,14033418236.59,901528231.21,127859.3,1931,Nordland
1,Annen boligbyg.(sek. reindrift,58907,419,1103797939.09,68819122.5,5329.8,149,Nordland
2,Annen bygn. for religiøs akt.,7411,41,120330725.05,8069695.29,346.2,17,Nordland
3,Annen bygning for bofellesskap,73039,233,915343709.98,59618995.39,39340.0,126,Nordland
4,Annen bygning for overnatting,65503,384,1370555366.89,83542594.82,20148.9,184,Nordland
5,Annen eksp. og terminalbygning,32550,70,320808617.1,20798570.19,12259.5,46,Nordland
6,Annen fiskeri- og fangstbygn.,38032,112,541603533.22,33505368.04,16117.9,78,Nordland
7,Annen forretningsbygning,371522,1032,3021857917.8,189955789.25,70947.67,437,Nordland
8,Annen garasje-/hangarbygning,104340,218,1223604606.07,80552504.36,38240.8,169,Nordland
9,Annen hotellbygning,22981,82,224212265.7,13554234.97,2291.4,33,Nordland
10,Annen idrettsbygning,64613,264,1398338614.13,89749687.67,31122.9,194,Nordland
11,Annen industribygning,1197979,1533,6846837184.81,430442690.19,366687.0,1018,Nordland
12,Annen kontorbygning,338813,895,2838028009.24,183100569.39,79509.7,397,Nordland
13,Annen lagerbygning,452630,1317,7146849662.95,455308768.39,181972.0,982,Nordland
14,Annen landbruksbygning,212584,1464,8271813368.11,525454695.11,86123.6,1117,Nordland
15,Annen museum/biblioteksbygning,25844,84,296720672.35,18381011.53,5174.0,40,Nordland
16,Annen primærhelsebygning,20074,66,200874061.39,12630126.45,2547.0,29,Nordland
17,Annen restaurantbygning,11219,66,277848302.46999997,17341741.74,4736.3,38,Nordland
18,Annen skolebygning,85045,182,703175458.84,44708964.22,14705.3,100,Nordland
19,Annen universitet/høgskolebygn,16634,16,67158481.1,4214517.2,0.0,9,Nordland
20,Annen veg-og trafikktilsynsbygning,13590,51,289764028.14,18791874.34,3878.0,40,Nordland
21,Annet kulturhus,65383,265,945996376.23,59631103.2,14152.28,135,Nordland
22,Annet sykehjem,3947,8,44830439.0,2832244.0,85.0,6,Nordland
