,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
23,Appartement,8447,53,202907390.3,12917339.45,3985.2,27,Nordland
24,Bankbygning posthus,51663,121,315399175.59,20755070.78,4350.0,42,Nordland
25,Barnehage,123569,475,2327400948.84,147210143.19,48721.7,328,Nordland
26,Barneskole,212512,353,1254082786.98,80062237.18,45410.5,196,Nordland
27,Bedehus menighetshus,42661,217,927097553.76,58771523.78,9103.4,125,Nordland
28,Bensinstasjon,39641,133,693658923.8,44631733.89,9119.0,101,Nordland
29,Bibliotek mediatek,18374,27,82329549.6,5392231.0,6383.0,11,Nordland
30,Bo- og behandlingssenter,123699,201,784558339.51,49616049.95,35085.3,108,Nordland
31,Bo- og servicesenter,147901,343,1386209253.72,87529787.12,38477.1,190,Nordland
32,Boligbrakker,49675,176,856660000.58,54928765.87,26487.4,118,Nordland
33,Brannstasjon ambulansestasjon,31574,84,359002524.49,22693670.3,17292.9,51,Nordland
34,Butikk/forretningsbygning,1047307,2570,8203460906.17,515106354.86,340644.4,1201,Nordland
35,Bygn.for vannfors.bla. pumpest,15431,91,453717771.12,28233483.55,5923.0,62,Nordland
36,Bygning for renseanlegg,20232,86,430588143.36,27249749.52,10769.0,58,Nordland
37,Camping/utleiehytte,38706,459,2106238301.98,126974417.91,11654.25,282,Nordland
38,Diskotek ungdomsklubb,1550,13,51958204.980000004,3184845.81,238.6,7,Nordland
39,Driftsb. fiske/fangst/oppdr,359930,759,3285940963.4,198469667.82,145576.6,450,Nordland
40,Eksp.bygn. flyterm. kontr.tårn,67585,91,299575213.21,19083370.81,20419.0,44,Nordland
41,Enebolig,9422097,120358,396681146223.78,25219482108.19,1768753.82,53570,Nordland
42,Enebolig m/hybel/sokkelleil.,1133116,12254,37397061101.89,2390540649.94,201118.2,5077,Nordland
43,Fabrikkbygning,380438,340,1429222031.37,88966181.25,146114.6,204,Nordland
44,Fritidsbygg(hyttersommerh. ol,491182,7553,32096648904.8,2030787065.76,238330.16,4320,Nordland
45,Fyrstasjon losstasjon,607,6,14983596.1,891850.6,0.0,2,Nordland
46,Garasjeuth.anneks til fritidb,30527,375,1840050667.76,115167886.44,10251.6,248,Nordland
47,Garasjeuthus anneks til bolig,430955,4390,23889710817.61,1500176982.11,133979.6,3230,Nordland
48,Gatekjøkken kioskbygning,7083,47,216377480.72,13782071.75,1648.0,32,Nordland
49,Godsterminal,57264,36,150881950.08,10229867.83,11116.0,23,Nordland
50,Helse-/sosialsent. helsestasj.,7928,20,89760931.82,6010582.01,2674.0,12,Nordland
51,Helsestudio,13686,23,89505091.63,5392203.85,1152.0,14,Nordland
52,Helårsb.benyttes som fritidsb.,246783,4525,13941540555.41,856515367.91,33289.1,1869,Nordland
53,Hospits pensjonat,11401,68,179172438.2,10993209.0,1254.0,24,Nordland
54,Hotellbygning,326001,581,1099524193.69,69963462.52,57441.8,159,Nordland
55,Hus for dyr/landbr.lager/silo,1093731,4869,28907803664.07,1798398883.29,379247.0,4046,Nordland
56,Idrettshall,223211,149,625720174.88,39547390.11,107993.0,92,Nordland
57,Ishall,2862,1,7357908.9,459416.2,2862.0,1,Nordland
58,Jernbane- og T-banestasjon,10617,28,88514053.1,5639760.6,823.0,12,Nordland
59,Kino/teater/opera/konsertbygn,40592,54,134230858.26,8254512.720000001,10569.9,19,Nordland
60,Kirke kapell,34864,121,539135845.15,34781738.02,6121.2,72,Nordland
61,Kjede/atriumhus,114584,1447,5326128281.93,346817539.75,35079.9,714,Nordland
62,Kjøle- og fryselager,50288,58,278239658.49,17634449.76,22305.0,41,Nordland
63,Kjøpesenter varehus,573386,494,1513977406.8,95145046.09,207193.5,225,Nordland
64,"Klinikk, legekontor/-senter/-vakt/dyresykehus",23457,91,282832311.05,17736396.19,10560.7,43,Nordland
65,Komb. barne- og ungdomsskole,161119,236,939182545.17,57875943.78,59078.0,138,Nordland
66,Kontor- og adm.bygning rådhus,595115,1287,3258429223.46,207993177.08,83060.4,476,Nordland
67,Kremat. gravkapell bårehus,2825,16,66982404.8,4452316.5,726.0,9,Nordland
68,Laboratoriebygning,6819,10,29978743.03,2039098.6,911.0,5,Nordland
69,Lagerhall,740130,1578,9450180890.37,602149960.57,366891.44,1312,Nordland
70,Lekepark,6165,30,134839605.65,8634848.04,2267.0,19,Nordland
71,Mediabygning,7462,14,29986862.59,2026919.94,394.0,5,Nordland
72,Messe- og kongressbygning,477,3,7259618.1,388145.1,0.0,1,Nordland
73,Motellbygning,11950,50,178437175.7,10755583.21,2177.7,26,Nordland
74,Museum kunstgalleri,60215,202,696205989.51,43703943.89,17682.8,100,Nordland
75,Naust båthus sjøbu,61658,677,3399433879.88,207057165.86,16594.4,458,Nordland
76,Naust/redskapshus for fiske,18009,131,604609126.56,36058982.7,3536.0,81,Nordland
77,Offentlig toalett,949,7,52476517.45,3359149.65,605.0,7,Nordland
78,Parkeringshus,88419,51,230381686.47,14829383.99,24662.3,31,Nordland
79,Politistasjon,19432,24,44998001.88,3047733.06,6051.0,6,Nordland
80,Postterminal,35990,34,164117217.48,10711216.03,13358.0,23,Nordland
81,Rehabiliter.institusjon.kurbad,22012,36,104953312.96,6900751.67,2091.4,16,Nordland
82,Rekkehus,615733,9060,26886195643.14,1746069694.18,112779.35,3610,Nordland
83,Restaurantbygning kafebygning,96274,493,1575333663.35,99508455.23,19721.7,221,Nordland
84,Samfunnshus grendehus,115099,597,2772519766.07,175220653.51,17579.8,383,Nordland
85,Sentralkjøkken kantinebygning,15918,35,134792041.95,9137687.42,7050.5,19,Nordland
86,Seterhus sel rorbu o.l.,12705,130,535908100.4,32486306.68,2267.0,71,Nordland
87,Skogs- og utmarkskoie gamme,220,2,14798436.43,896282.36,90.0,2,Nordland
88,Store sammenb. boligbygg på 3 og 4 etg.,103771,412,738302491.01,51668956.23,16355.0,102,Nordland
89,Store sammenb. boligbygg på 5 etg. el. mer,209731,369,428742146.7,29639986.19,38096.0,64,Nordland
90,Store sammenbygde boligbygg på 2 etg.,39461,167,434389404.94,29987948.6,8303.0,59,Nordland
91,Stort frittliggende boligbygg på 2 etg.,189261,860,2648716078.9,166800094.79,62537.6,365,Nordland
92,Stort frittliggende boligbygg på 3 og 4 etg.,872042,2850,5492818155.22,357371842.95,145352.18,759,Nordland
93,Stort frittliggende boligbygg på 5 etg. el. mer,378404,741,771142271.77,51494326.62,52526.0,115,Nordland
94,Studenthjem/studentboliger,62170,189,591342535.72,40109729.9,12058.0,83,Nordland
95,Svømmehall,42934,41,134779710.03,8781047.09,6968.0,20,Nordland
96,Sykehjem,207425,232,550022020.91,33921793.08,38245.5,87,Nordland
97,Sykehus,167441,143,246596635.63,15924552.21,18559.0,46,Nordland
98,Terrassehus,52482,238,417274262.17,26528081.62,4185.5,56,Nordland
99,"Tomannsbolig, horisontaldelt",467412,6295,14035620979.46,926396951.86,75144.05,1918,Nordland
100,"Tomannsbolig, vertikaldelt",875205,14055,42295814647.68,2759669564.13,186933.57,5703,Nordland
101,Trafikktilsynsbygning,7536,18,74739982.37,5166494.52,2912.0,11,Nordland
102,Tribune og idrettsgarderobe,9953,46,247136683.81,16172609.99,3156.0,34,Nordland
103,Ungdomsskole,94021,104,260341508.01,16322513.07,20488.0,41,Nordland
104,Univ./høgskole m/auditor.leses,129511,68,149595891.73,10143183.94,14832.0,22,Nordland
105,Vandre-/feriehjem,9091,75,262393025.01,16842054.61,1504.1,37,Nordland
106,Veksthus,38670,115,828151872.49,53334670.17,9768.7,112,Nordland
107,Verkstedbygning,512881,1199,5653701642.83,361622662.31,198382.95,796,Nordland
108,Videregående skole,229979,237,648861037.58,40331767.42,45188.0,93,Nordland
109,Våningh. benyttes som fritidsb,245952,4676,14887716442.85,942502576.88,53592.1,2000,Nordland
110,Våningshus,1018004,14429,45930002566.87,2885642914.53,159178.3,6211,Nordland
111,"Våningshus, tomannsb./horisont.",15534,157,465760524.39,28565060.12,1416.9,66,Nordland
112,"Våningshus, tomannsb./vertikal.",34752,394,1244424191.89,74836438.48,5149.0,170,Nordland
113,Zoologisk/botanisk hage (byg.),1650,4,7566104.0,477164.0,0.0,3,Nordland
