,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,522061,3857,9880032606.99,322718663.94,126966.2,1526,Buskerud
1,Annen boligbyg.(sek. reindrift,77972,261,580877626.75,18565185.06,7258.0,92,Buskerud
2,Annen bygn. for religiøs akt.,8443,48,126827991.42,3886159.83,1836.6,21,Buskerud
3,Annen bygning for bofellesskap,67345,195,520143588.47,17667131.65,13537.0,82,Buskerud
4,Annen bygning for overnatting,38503,173,589133938.11,15768991.06,9070.4,92,Buskerud
5,Annen eksp. og terminalbygning,46805,48,192981479.59,6301342.5,6029.0,32,Buskerud
6,Annen fiskeri- og fangstbygn.,266,3,13247588.9,396990.02,0.0,2,Buskerud
7,Annen forretningsbygning,454412,804,2310658535.41,72260927.83,126343.0,383,Buskerud
8,Annen garasje-/hangarbygning,31094,82,449355744.32,11781409.55,6689.6,68,Buskerud
9,Annen hotellbygning,80022,214,456606438.62,11004112.34,14615.0,71,Buskerud
10,Annen idrettsbygning,87921,329,1327005777.33,40889717.72,33824.4,212,Buskerud
11,Annen industribygning,1011029,1146,4257302995.5,133878092.31,370290.5,733,Buskerud
12,Annen kontorbygning,524694,1017,2425956940.41,78999814.1,102690.9,396,Buskerud
13,Annen lagerbygning,317766,728,3650035673.51,111987767.79,149712.0,565,Buskerud
14,Annen landbruksbygning,340649,1499,7269205155.6,219742813.66,171856.6,1173,Buskerud
15,Annen museum/biblioteksbygning,17936,55,179899409.36,5683498.19,5920.0,27,Buskerud
16,Annen primærhelsebygning,85912,90,226340905.59,7295996.68,18642.0,35,Buskerud
17,Annen restaurantbygning,20244,86,273355654.05,8523854.29,7878.0,43,Buskerud
18,Annen skolebygning,153344,285,977701722.34,31632737.64,40793.1,155,Buskerud
19,Annen universitet/høgskolebygn,26297,20,39772882.13,1288364.65,5529.0,9,Buskerud
20,Annen veg-og trafikktilsynsbygning,9560,37,200349886.43,6025965.57,2727.7,31,Buskerud
21,Annet kulturhus,31645,125,393669669.14,11999154.9,4551.8,60,Buskerud
22,Annet sykehjem,3125,13,46891696.68,1341255.77,250.0,7,Buskerud
